ID,transcription
projects/voice-clonning-b3160/databases/(default)/documents/Users/1v2vgnT9VIVLmXsowacLkXirsR22/Recordings/sTyaVSiTTmZWPExyr130,اصغر سیک، ایکسٹمپلیرمبرڈ بی، انویسٹمنٹ ویہیکلر کرووشولوڈا سرگل، انٹرٹینمنٹ ویہیکلر بوریکنٹ ویریٹگزارجا بورخلو مصطفیٰ البیغ، پلے اسٹیشن پارٹی، ایکس بکس گیمز پلے، ہوما پلے میں اور چیمبر لیگ ان یحاج ڈروگن
projects/voice-clonning-b3160/databases/(default)/documents/Users/Bv0rRnunUodkcpyAUrK3qlKT81p2/Recordings/W3tb05VVqOc8rVkHfUKf,السلام علیکم، یہ لندن سے پورے راستے میں آیان ہے۔
projects/voice-clonning-b3160/databases/(default)/documents/Users/26D2J43M38T6lhyIXVkBHWk9CX22/Recordings/nROnIDbmecY3kBsnQBUS,خدا حافظ.
projects/voice-clonning-b3160/databases/(default)/documents/Users/3ZD459Mjd2YUOaZkxmPbidz7hxg1/Recordings/V79BOXGaoILUOGumfnvk,"Çocuk yapmayın, çocukla çalışın۔"
projects/voice-clonning-b3160/databases/(default)/documents/Users/SmPAXIuNoCQRbUVabfvSmmi5eUf2/Recordings/XXrK4uuGvJxJ8tsRvIOa,دایا نا لنگ، ڈوبتیسا۔ سوکیان، اوریاں، دوبتیسا۔
projects/voice-clonning-b3160/databases/(default)/documents/Users/oaMrIh5qYYefNjnSCow1TdB74bf2/Recordings/gjPuCiGzbn938AKh63xe,مزید معلومات کے لیے، www.FEMA.gov ملاحظہ کریں۔
projects/voice-clonning-b3160/databases/(default)/documents/Users/WjOfMg8MBTav3E3At3cLowB4Dv53/Recordings/5vUUHVfDFBpwOBvUW6ft,"ہیلو Mert hattam vaddki presszet, zit van is a tücsöd, én odafogom de az egyszer moverje..."
projects/voice-clonning-b3160/databases/(default)/documents/Users/14aBTmojVtZ88vQ9slMrv9Lz73J3/Recordings/ue28Rp3hT1bpaIJ2jfVH,آپ کا دن خوبصورت گزرے، سلامت رہیں
projects/voice-clonning-b3160/databases/(default)/documents/Users/iitGBYKEqIetlXK3qbD8FrppyJk1/Recordings/YPCxWqNPtGjIcUVwgyLA,"Hej då, jag tar lognare tic taco!"
projects/voice-clonning-b3160/databases/(default)/documents/Users/MULO6hiwlSNnnb3nc3EaAeMVWPH2/Recordings/QFS3EC8KW0J0iCvxYjRG,ہیلو مائک ٹیسٹنگ 1، 2، 3، ہیلو مائک ٹیسٹنگ
