Intent Display Name,Language,Phrase
repeat,en,"Can you go back a bit?"
,,"Didn't quite catch that, say again?"
,,"Say what?"
,,"I missed that, what did you say?"
,,"Could you repeat that, please?"
,,"What was that again?"
,,"Sorry, can you tell me that again?"
,,"Can you rephrase that?"
,,"Wait, what?"
,,"Huh, can you say that once more?"
,,"Can you run that by me one more time?"
,,"I didn't get that, can you repeat?"
,,"Mind saying that again?"
,,"Could you go over that again?"
,,"What did you say?"
,,"Didn't catch that, can you say it again?"
,,"Say that one more time?"
,,"Come again?"
,,"Sorry, what was that?"
,,"Can you repeat that?"
joining.alone,en,"alone"
,,"I'll be attending by myself."
,,"Just me, going alone."
,,"Planning to go solo."
,,"It's just gonna be me."
,,"Just on my own."
,,"Just me, no colleagues joining."
,,"I'm the only one from our team going."
,,"Only me, nobody else coming."
,,"Going solo for this one."
,,"Just a solo trip for me, not bringing anyone."
,,"I'll be there alone, no team with me."
,,"Just me, no one else from the office."
,,"I'm the only one going from our side."
,,"No colleagues, just me."
,,"It's just gonna be me, nobody else."
,,"Just me, flying solo."
,,"Gonna be there solo, no colleagues."
,,"I'm the only one from my place going."
,,"Alone, no one else coming from my end."
,,"Just me."
future.Event.will.not.attending,en,"I won’t be able to, but thanks for thinking of me."
,,"I’m going to have to bow out of this one."
,,"Unfortunately, I’m booked up."
,,"Sorry, but I won’t be able to make it."
,,"I’m afraid I’ll have to pass on this one."
,,"I’m going to sit this one out, but thanks."
,,"I wish I could, but I can’t."
,,"I’m not able to, but keep me in mind for the future."
,,"No can do, but maybe next time."
,,"I’m going to have to decline, but thank you."
,,"I appreciate the offer, but I can’t."
,,"Sadly, I have a lot on my plate right now."
,,"I’m going to have to say no this time."
,,"Regrettably, I won’t be able to attend."
,,"No thanks, I have other commitments."
,,"I’ll pass, but thanks for offering."
,,"Unfortunately, that won’t work for me."
,,"Sorry, I can’t make it."
,,"Not this time, but keep me posted."
,,"I’m afraid not, maybe next time."
joining.no,en,"No, the event doesn't seem like the right choice for me."
,,"I'm afraid I won't be attending, as it doesn't suit my needs."
,,"No, the topics aren't really in line with my field."
,,"Sadly, it's not the kind of event I'm looking to attend."
,,"No, the themes of the event don't appeal to my needs."
,,"I've decided not to attend, as it's not quite right for me."
,,"No, the event doesn't cater to my professional needs."
,,"Regrettably, the speakers and topics aren't what I'm seeking."
,,"I don't think the event is right for me, so no."
,,"No, the subjects covered don't align with my interests."
,,"Unfortunately, the event's content isn't a fit for my objectives."
,,"No, after considering, it doesn't seem appropriate for me."
,,"Sadly, the event's topics aren't a match for my needs."
,,"No, the focus of the event isn't really suitable for me."
,,"I'm afraid it's not quite what I need at the moment."
,,"No, the agenda doesn't resonate with my interests."
,,"Regrettably, the event doesn't meet my current requirements."
,,"No, I don't think it aligns with what I'm looking for."
,,"Unfortunately, it doesn't seem like the right fit for me."
,,"No, the topics and speakers don't quite match my needs."
yes.will.attending,en,"yes"
,,"Absolutely, the topics and speakers are just right for me. Can't wait to go."
,,"Yes, it's exactly what I'm into. I'll be attending."
,,"Certainly, the lineup's ideal for me. Excited to go."
,,"Definitely, the topics and speakers are a great fit. Count me in for it."
,,"Indeed, it all resonates with my interests. I'll be there."
