Intent Display Name,Language,Phrase
Greeting,en,"i am doing ok."
,,"Spectacular"
,,"I'm amazing."
,,"I am good."
,,"Hey there! I'm doing well, thanks for asking."
,,"Hey, doing well here,"
,,"Yo! I'm doing fine,"
,,"Hey, doing great today, thanks for reaching out!"
,,"Hey, all good on my end, "
,,"Hi there! I'm doing well, appreciate you asking."
,,"Hey, I'm good, thanks for checking in!"
,,"Hey, doing well here"
,,"Yo! I'm all good"
,,"Hey there! I'm doing pretty good, thanks for asking."
,,"Swell."
,,"Peachy."
,,"Decent."
,,"Cool."
,,"Terrific."
,,"Awesome."
,,"Amazing."
,,"Splendid."
,,"Excellent."
,,"Fantastic."
,,"Superb."
,,"Wonderful."
,,"Not bad."
,,"Fabulous."
,,"Alright."
,,"Great."
,,"Okay."
,,"Fine."
,,"Good."
,,"Well."
Connect Day,en,"connect me on (17 Feb)[@day, day]"
,,"(in couple of hours)[@day, day]"
,,"probably (Next week)[@day, day]"
yes.will.attending,en,"I will with my co-worker."
,,"Yeah, I think so with one other person."
,,"The event is a perfect opportunity for me. I’m attending."
,,"I’m truly interested in the topics. Count me in."
,,"The event seems custom-made for me. I’ll be there."
,,"I’m excitedly awaiting the speakers. I’ll be there."
,,"The event corresponds with my interests. I’m planning to attend."
,,"I’m enthusiastic about the topics. I’ll definitely be there."
,,"The speakers are exactly what I’ve been looking for. I’m attending."
,,"The event is just the thing I need. I’m going."
,,"I’m fascinated by the subjects being discussed. I’ll be there."
,,"The event is an excellent opportunity for me. I’m attending."
,,"I’m genuinely interested in the topics. Count me in."
,,"The event seems tailor-made for me. I’ll be there."
,,"I’m eagerly anticipating the speakers. I’ll be there."
,,"The event matches my interests perfectly. I’m planning to attend."
,,"I’m thrilled about the topics. I’ll surely be there."
,,"The speakers are just what I need. I’m definitely attending."
,,"The event is exactly what I’ve been looking for. I’m going."
,,"I’m intrigued by the topics. I’ll definitely be there."
,,"The event is a perfect fit for my interests. I’m attending."
,,"The subjects being discussed are right up my alley. I’ll be there."
,,"I’ll participate."
,,"I’ll be present."
,,"I’m coming."
,,"I’ll join."
,,"I’ll come."
,,"I’m attending."
,,"Will attend."
,,"I’m going."
,,"See you there."
,,"I’ll be there."
,,"I’m in."
,,"Count me in."
,,"Indeed."
,,"Undoubtedly."
,,"Certainly."
,,"Surely."
,,"Absolutely."
,,"Definitely."
,,"Confirmed."
,,"Attending."
,,"I might join."
,,"i will be there"
,,"Yes, I will attend the event."
,,"yes i will."
,,"Absolutely, the topics and speakers are just right for me. Can't wait to go."
,,"Yes, it's exactly what I'm into. I'll be attending."
,,"Certainly, the lineup's ideal for me. Excited to go."
,,"Definitely, the topics and speakers are a great fit. Count me in for it."
,,"Indeed, it all resonates with my interests. I'll be there."
,,"For sure, the subjects and experts are just what I need. Really eager to attend."
,,"Yeah, it's exactly what I'm looking for. Definitely gonna be there."
,,"Absolutely, the topics and speakers are right on the mark for me. Planning to attend."
,,"Sure, it's a perfect match for me. Excited to be part of it."
,,"Indeed, it's exactly what I need. I'm going."
,,"Yes, the program's totally relevant to me."
,,"Yeah, it's a great chance for me. I'll be there for sure."
,,"Definitely, the speakers and topics are spot on. Looking forward to it."
,,"Yep, it's a great fit for me. Count me in."
,,"Yeah, the topics and speakers are my kind of thing. Super excited to join."
,,"Absolutely, it's what I've been looking for. I'll be there."
,,"Yep, it's perfect for me. Planning to be there."
,,"Yeah, really into the topics and speakers. I'm in."
,,"For sure, it's right up my alley. Definitely going."
,,"Totally, the speakers and topics are just what I need. Can't wait to go."
no.send.information,en,"No"
,,"No Need"
,,"Nah, I've committed it to memory."
,,"Nope, pretty clear on it already.,"
,,"Nah, no resend necessary.,"
,,"No thanks, I can manage without.,"
,,"Nah, I've got the gist of it.,"
,,"Nope, don't bother resending.,"
,,"No need, it's all in my head.,"
,,"Nah, I've got it all sorted.,"
,,"Nope, I've got a good memory.,"
,,"Nah, I'm fine without a resend.,"
,,"No thanks, got it down pat.,"
,,"Nope, already got all I need.,"
,,"Nah, no need to send it again.,"
,,"No need, I've got it memorized.,"
,,"Nah, I remember it well enough.,"
,,"Nope, all good on my end.,"
,,"No thanks, I'm all set.,"
,,"Nah, got it covered already.,"
,,"Nope, don't need it again.,"
,,"Nah, I'm good without it.,"
Busy,en,"Actually, I am a very ill today. I'm not going to talk."
,,"I’m tied up with a meeting, can we converse later?"
,,"I’m currently in a workshop, can we speak later?"
,,"I’m in the midst of a presentation, can we talk later?"
,,"I’m occupied with work, can we chat later?"
,,"I’m engaged in a discussion, can we connect later?"
,,"I’m handling a critical task, can we converse later?"
,,"I’m currently in a webinar, can we speak later?"
,,"I’m in a brainstorming session, can we chat later?"
,,"I’m busy with a client, can we talk later?"
,,"I’m in a conference call, can we connect later?"
,,"I’m on a deadline, can we speak another time?"
,,"I’m attending a training session, can we converse later?"
,,"I’m dealing with an urgent issue, can we chat later?"
,,"I’m working on a project, can we connect later?"
,,"I’m currently on a call, can we speak later?"
,,"I’m in a meeting, can we talk later?"
,,"I’m on a tight schedule right now, can we reschedule?"
,,"I’m currently tied up, can we chat another time?"
,,"I’m in the middle of something, can you call back?"
,,"I’m swamped at the moment, can we talk later?"
,,"talk to me later"
,,"bro i don't have a time"
,,"I’m in a brainstorming session, could you call me back?"
,,"I’m working on a report, can we converse later?"
,,"I’m currently on a business call, could you ring me later?"
,,"I’m in a training session, can we connect later?"
,,"I’m dealing with an urgent matter, could you call me later?"
,,"I’m currently attending a webinar, can we speak another time?"
,,"I’m tied up with a client, can we chat later?"
,,"I’m in the middle of a conference call, could you call me back?"
,,"I’m working on a deadline, can we converse later?"
,,"I’m currently involved in a meeting, could you ring me later?"
,,"I’m handling a project, can we connect later?"
,,"I’m engaged with work, could you call me later?"
,,"I’m currently on a tight schedule, can we speak another time?"
,,"I’m in the midst of a task, could you ring me later?"
,,"I’m dealing with something, can we chat later?"
,,"I’m not free right now, could you call me back?"
,,"Can we have this conversation later? I’m occupied at the moment."
,,"I’m currently tied up, could we talk another time?"
,,"Could you please ring me later? I’m in the middle of something."
,,"I’m swamped with work, can we reschedule our call?"
,,"i don't have a time to talk. can you call me later."
,,"I am busy right now."
No.follow.up,en,"No, I'll reach back out if it's of Interest."
,,"No, just wait to hear from me first."
,,"Unfortunately, I won't be able to discuss the early-bird offer, so I'll have to say no."
,,"I'm not interested in the early-bird savings, so I won't be available for a check-in."
,,"Thanks for asking, but I won't be available for a check-in regarding the early-bird promotion."
,,"I'm not interested in participating in discussions about the early-bird pricing, so I'll have to say no."
,,"I appreciate the offer, but I'm going to have to decline discussing the early-bird option."
,,"No, I won't be able to engage in discussions about the early-bird pricing."
,,"Unfortunately, I'm not interested in the early-bird savings, so I'll pass on the check-in."
,,"I'll have to respectfully decline your request for a check-in about the early bird."
,,"I'm not inclined to participate in discussions about the early-bird offer."
,,"No, I won't be available for a check-in regarding the early-bird special."
,,"I appreciate the offer, but I'm not interested in discussing the early-bird deal."
,,"That doesn't work for me, so I'll have to say no."
,,"I'll have to decline your invitation for a check-in about the early-bird options."
,,"Sadly, I won't be able to engage in a discussion about the early-bird deal."
,,"No, I won't be participating in the early-bird offer."
,,"Sorry, but I'm not interested in discussing the early-bird pricing."
,,"Regrettably, I must pass on the opportunity to discuss my interest."
,,"Unfortunately, I won't be available for a check-in regarding the early bird."
,,"I'm afraid I'll have to decline your offer to check in."
,,"No, thank you, I'm not interested in the early-bird pricing."
,,"No, thanks for asking though."
Not.able.to.take.early.bid.discount,en,"I'm not yet."
,,"No, I think I am not able to take."
,,"I don't have money."
,,"Unfortunately, we'll have to decline this offer, but thank you for considering us."
,,"I'll have to discuss this internally, but I don't see it fitting into our plans."
,,"It's a great deal, but it's not something we can pursue currently."
,,"I'll have to check with our budget, but I don't think it's feasible for us at this time."
,,"We'll have to pass on this opportunity, but thank you for letting us know."
,,"I appreciate your time, but we won't be able to proceed with that pricing."
,,"That's a generous offer, but it's not something we can accommodate right now."
,,"Unfortunately, we're not in a position to take advantage of that offer."
,,"We'll have to explore other possibilities, as this one doesn't fit our criteria."
,,"Thanks for the heads up, but we won't be moving forward with that offer."
,,"I'll have to discuss it further with my team, but I don't think it aligns with our current goals."
,,"We'll have to reconsider our options, but for now, we can't commit to that."
,,"It sounds tempting, but it's not something we can proceed with."
,,"I'll have to decline that offer, it's not in our plans."
,,"Thanks for the information, but we won't be able to take advantage of that offer."
,,"I'm sorry, but that's not feasible for us currently."
,,"We'll have to pass on that offer, thank you."
,,"I understand the deal, but it's not something we can commit to at this time."
,,"Unfortunately, that pricing won't work for us right now."
,,"I appreciate the offer, but I'm afraid it's not within our budget at the moment."
Email Correction No,en,"it is (m o r s e l l dot a l l i s o n at the rate live dot com)[@email, email]"
,,"my email address is (m o r s e l l dot a l l i s o n at the rate live dot com)[@email, email]"
,,"my correct email address is (a b d u l l a h at gmail.com)[@email, email]"
,,"my email address is (h a s e e b at the rate a l t v e n t u r e s c o)[@email, email]"
,,"Drop me an email at (starrysketcher, sketching stars, at art dot galaxy)[@email, email]."
,,"For chats, it’s (coffeelover, lover of coffee, at caffeine dot club)[@email, email]."
,,"Email me at (gamerlegend, legend of games, at play dot world)[@email, email]."
,,"You can always find me at (bookwormbabe, babe with an e, at reads dot library)[@email, email]."
,,"Reach out to me at (zenmaster, master with a z, at peace dot mind)[@email, email]."
,,"Send your stuff to (digitalnomad, nomad as in wanderer, at remote dot work)[@email, email]."
,,"You’ve got me at (cosmicexplorer, all lowercase, at universe dot com)[@email, email]."
,,"Holler at me via (gourmetguru, guru for the master, at tasty dot food)[@email, email]."
,,"For a good time, email (partyplanner, all one word, at funtimes dot net)[@email, email]."
,,"Buzz me at (wordweaver, weaving words, at stories dot club)[@email, email]."
,,"Shoot me an email, it's (fitnessfreak, freak with an e-a-k, at healthnut dot com)[@email, email]."
,,"Slide into my DMs at (musicmaniac, with a c not a k, at tunes dot com)[@email, email]."
,,"Ping me at (mountainmover, like shaking mountains, at earth dot co)[@email, email]."
,,"Drop a line to (thecreativeone, spelled just as it sounds, at ideas dot biz)[@email, email]."
,,"Reach me at (wanderlustvegan, all smushed together, at globe dot org)[@email, email]."
,,"Fling me a message at (techwizard, that’s wizard with a z, at geekzone dot io)[@email, email]."
,,"You can hit me up at (night.owl, yeah with a dot, at nocturnal dot net)[@email, email]."
,,"Catch my vibes at (sunnybeachbum, all one word, at waves dot co)[@email, email]."
,,"It’s me at (chilldude123, yep, one two three, at email dot com.)[@email, email]"
not.attending,en,"Unfortunately, I cannot be joining."
,,"No, I can't make it."
,,"No i am busy."
,,"No, I won't be attending."
,,"No, thanks for asking."
,,"No, the topics and speakers don't really match my interests."
,,"Unfortunately, it's not quite what I need."
,,"No, the agenda doesn't suit what I'm looking for."
,,"Regrettably, the subjects aren't really what I'm into right now."
,,"No, the content doesn't really speak to me."
,,"Afraid it's not what I need right now."
,,"No, the event's themes don't grab me."
,,"Sadly, the topics don't relate to my work."
,,"No, after thinking about it, it's not the right fit."
,,"Unfortunately, the event's content doesn't match my needs."
,,"No, the speakers and topics don't line up with my goals."
,,"Don't think it's right for me, so no."
,,"No, doesn't really touch on what interests me."
,,"Regrettably, it's not the type of event I'm looking for."
,,"No, not really into the event's agenda."
,,"Doesn't seem like my kind of thing, so no."
,,"No, what they're focusing on isn't what I'm after."
,,"Sadly, it doesn't seem like the right thing for my career growth."
,,"Nope, not really feeling the topics and speakers."
,,"No, the program doesn't really fit what I need."
,,"No, the event's program doesn't meet my professional requirements."
,,"No, I'm not inclined to attend based on the current topics and speakers."
,,"Sadly, the event doesn't seem like a good fit for my professional development."
,,"No, the event's focus isn't in line with what I'm seeking."
,,"The event doesn't seem like the right choice for me, so no."
,,"No, I'm not interested in the event's agenda."
,,"Regrettably, it's not the kind of event I'm looking to attend."
,,"No, the event doesn't cater to my areas of interest."
,,"I don't think the event is suitable for me, so no."
,,"No, the speakers and topics don't align with my professional goals."
,,"Unfortunately, I don't find the event's content relevant to my needs."
,,"No, after considering, it's not the right fit for me."
,,"Sadly, the topics aren't relevant to my field of work."
,,"No, the themes of the event don't really appeal to me."
,,"I'm afraid the event isn't what I need at the moment."
,,"No, the content of the event doesn't resonate with me."
,,"Regrettably, the subjects covered don't match my current interests."
,,"No, I don't think the agenda suits what I'm looking for."
,,"Unfortunately, the event's focus isn't a fit for my needs."
,,"No, the topics and speakers don't quite align with my interests.""
Budget,en,"i don't have a money to pay"
,,"Budget"
,,"In a financial bind, unable to contribute."
,,"Budget's maxed out, can't afford it."
,,"Facing financial difficulties, unfortunately."
,,"Money's scarce, can't allocate."
,,"Tight on cash, can't commit."
,,"Unable to meet expenses at the moment."
,,"Budget constraints are limiting my options."
,,"Experiencing financial hardship currently."
,,"Financially restricted, unable to contribute."
,,"Running short on funds, can't participate."
,,"Facing budgetary limitations, sorry."
,,"Cash flow's restricted, can't afford."
,,"Struggling with finances, can't join."
,,"Financially challenged right now."
,,"Money's tight, can't commit."
,,"Operating on a tight budget, sorry."
,,"Budget's stretched thin, unfortunately."
,,"Facing financial constraints currently."
,,"Financially strapped at the moment."
,,"My funds are running low.""
,,"Budget consideration"
,,"Financial boundary"
,,"Budget concern"
,,"Expense"
,,"Financial barrier"
,,"Budgetary restriction"
,,"Spending limit"
,,"Economic factor"
,,"Monetary issue"
,,"Financial concern"
,,"Financial constraint"
,,"Financial aspect"
,,"Expenditure"
,,"Financial limitations"
,,"Resource constraint"
,,"Affordability"
,,"Money"
,,"Cost"
,,"Funds"
,,"Finances"
,,"The budget's my main hiccup. I'm waiting on a few things to clear up before I can commit."
,,"Honestly, it's mainly the budget holding me back. I gotta see if I can shuffle some funds around."
,,"Yeah, the budget's a bit tight at the moment. I'm crunching the numbers to see what I can do."
Email Correction No 2,en,"It’s me at (chilldude123, yep, one two three, at email dot com.)[@email, email]"
,,"Catch my vibes at (sunnybeachbum, all one word, at waves dot co.)[@email, email]"
,,"You can hit me up at (night.owl, yeah with a dot, at nocturnal dot net.)[@email, email]"
,,"Fling me a message at techwizard, that’s wizard with a z, at geekzone dot io."
,,"Reach me at (wanderlustvegan, all smushed together, at globe dot org.)[@email, email]"
,,"Drop a line to (thecreativeone, spelled just as it sounds, at ideas dot biz.)[@email, email]"
,,"Ping me at mountainmover, like shaking mountains, at earth dot co."
,,"Slide into my DMs at musicmaniac, with a c not a k, at tunes dot com."
,,"Shoot me an email, it's (fitnessfreak, freak with an e-a-k, at healthnut dot com.)[@email, email]"
,,"Buzz me at (wordweaver, weaving words, at stories dot club.)[@email, email]"
,,"For a good time, email partyplanner, all one word, at funtimes dot net."
,,"Holler at me via (gourmetguru, guru for the master, at tasty dot food.)[@email, email]"
,,"You’ve got me at (cosmicexplorer, all lowercase, at universe dot com.)[@email, email]"
,,"Send your stuff to digitalnomad, nomad as in wanderer, at remote dot work."
,,"Reach out to him at zenmaster, master with a z, at peace dot mind."
,,"You can always find her at (bookwormbabe, babe with an e, at reads dot library.)[@email, email]"
,,"Email him at (gamerlegend, legend of games, at play dot world.)[@email, email]"
,,"For chats, it’s (coffeelover, lover of coffee, at caffeine dot club.)[@email, email]"
,,"Drop him an email at starrysketcher, sketching stars, at art dot galaxy."
