"My funds are running low."""
Financially strapped at the moment.
Facing financial constraints currently.
"Budget's stretched thin, unfortunately."
"Operating on a tight budget, sorry."
"Money's tight, can't commit."
Financially challenged right now.
"Struggling with finances, can't join."
"Cash flow's restricted, can't afford."
"Facing budgetary limitations, sorry."
"Running short on funds, can't participate."
"Financially restricted, unable to contribute."
Experiencing financial hardship currently.
Budget constraints are limiting my options.
Unable to meet expenses at the moment.
"Tight on cash, can't commit."
"Money's scarce, can't allocate."
"Facing financial difficulties, unfortunately."
"Budget's maxed out, can't afford it."
"In a financial bind, unable to contribute."
